objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
187,42101018002,177,1987,2024,789589.91,90382.69,14069.75,127526.46,1021568.81,5771.58
188,42101018300,108,1998,2024,726365.74,61482.44,12312.33,111354.5,911515.01,8439.95
189,42101018400,88,1997,2024,470573.82,50266.03,10612.63,67707.26,599159.74,6808.63
190,42101018801,299,1989,2024,962902.2,135352.89,26661.77,210503.09,1336013.77,4468.27
191,42101018802,183,1993,2024,533560.78,61637.01,11140.13,123058.98,729396.9,3985.78
192,42101019000,190,1978,2024,660858.21,105450.63,13056.18,147503.9,926868.92,4878.26
193,42101019100,232,1985,2024,742567.83,86108.26,12046.6,156863.35,997586.04,4299.94
194,42101019200,618,1978,2024,1614217.85,601150.89,54199.34,524600.04,2794168.12,4521.31
195,42101019501,408,1978,2024,763471.8,265399.87,27390.35,330850.03,1387112.05,3399.78
196,42101019502,355,1978,2024,766224.31,248980.79,27848.12,292045.82,1335099.04,3760.84
197,42101019700,447,1987,2024,956049.51,228424.68,33045.61,304745.22,1522265.02,3405.51
198,42101019800,521,1978,2024,1403453.24,511811.93,50946.67,456328.96,2422549.48,4649.81
199,42101019900,505,1977,2024,1282570.42,537218.7,53020.04,517713.33,2390522.49,4733.71
200,42101020000,169,1978,2024,623963.82,196956.68,19295.6,156604.49,996820.59,5898.35
201,42101020101,436,1978,2024,1587104.69,391888.05,43530.59,418850.4,2441373.73,5599.48
202,42101020102,393,1982,2024,1450187.76,369345.54,40571.94,376042.02,2236240.6,5690.18
203,42101020200,722,1978,2024,2984932.53,1073330.76,96009.7,823971.66,4978244.65,6895.08
204,42101020300,500,1978,2024,1809412.27,565480.99,65687.33,529010.8,2969591.39,5939.18
205,42101020400,394,1980,2024,1303245.02,707510.03,52276.23,480548.36,2543579.64,6455.79
206,42101020500,373,1984,2024,1366614.67,453173.49,44767.92,419932.01,2284488.09,6124.63
207,42101020600,11,1984,2024,108489.63,33488.61,2359.82,22255.87,166593.93,15144.9
208,42101020701,101,1978,2024,464930.45,46649.66,8955.47,90117.58,610653.16,6046.07
209,42101020702,16,2012,2024,179586.09,3553.26,1560.91,9474.58,194174.84,12135.93
210,42101020800,26,2001,2024,145475.3,7975.28,2847.92,22150.56,178449.06,6863.43
211,42101020900,41,1978,2024,321136.25,72787.37,7053.06,49387.96,450364.64,10984.5
212,42101021000,120,1978,2024,810361.39,189183.36,28372.11,181411.68,1209328.54,10077.74
213,42101021100,37,2001,2024,231884.61,15488,3772.1,31005.79,282150.5,7625.69
214,42101021200,37,1993,2024,169138.26,15177.88,2966.79,33482.04,220764.97,5966.62
215,42101021300,53,1997,2024,377245.65,37648.74,6709.3,59277.72,480881.41,9073.23
216,42101021400,108,1979,2024,648242.38,101592.28,15754.7,124861.99,890451.35,8244.92
217,42101021500,135,1978,2024,583268.61,106985.39,16933.64,136488.18,843675.82,6249.45
218,42101021600,30,1978,2024,628153.77,304807.65,20228.87,86004.45,1039194.74,34639.82
219,42101021700,69,1985,2024,477527.52,59461.14,5743.33,60505.9,608984.07,8825.86
220,42101021800,41,1979,2024,259708.73,61839.89,8248.53,44473.72,374270.87,9128.56
221,42101021900,37,1997,2024,159260.12,35187.57,6860.47,31540.22,232848.38,6293.2
222,42101022000,21,2004,2024,232721.68,37645.13,2566.1,24599.73,297532.64,14168.22
223,42101023100,25,2017,2024,246934.9,20441.9,5486.69,16789.84,289653.33,11586.13
224,42101023500,25,1984,2024,259773.54,15840.52,1998.57,31318.85,308931.48,12357.26
225,42101023600,36,1997,2024,636569.87,54557.27,7681.91,43439.79,742248.84,20618.02
226,42101023700,109,1991,2024,1003333.47,107672.99,12081.6,91921.88,1215009.94,11146.88
227,42101023800,132,1978,2024,815080.35,137050.96,15705.95,128384.44,1096221.7,8304.71
228,42101023900,23,2016,2024,68781.3,1588.3,461,8163.89,78994.49,3434.54
229,42101024000,120,1988,2024,700168.41,162427.2,18440.33,118925.41,999961.35,8333.01
230,42101024100,43,1997,2024,546445.18,60530.21,9217.9,66612.16,682805.45,15879.2
231,42101024200,243,1978,2024,1131807.49,353294.94,32530.97,312608.25,1830939.53,7534.73
232,42101024300,162,1987,2024,707341.66,233576.02,26912.21,163592.99,1131422.88,6984.09
233,42101024400,250,1978,2024,1141291.95,300053.96,33250.34,262342.48,1736938.73,6947.75
234,42101024500,416,1978,2024,1626845.94,750742.02,66911.34,528913.74,2974127.05,7149.34
235,42101024600,201,1978,2024,1217620.51,320615.37,38767.61,271891.57,1848895.06,9198.48
236,42101024700,427,1978,2024,1626833.84,887603.55,66020.79,573433.02,3153891.2,7386.16
237,42101024800,163,1993,2024,615028.38,170551.79,16756.03,165364.19,967700.39,5936.81
238,42101024900,250,1990,2024,1095644.17,366198.74,35279.83,268658.72,1765781.46,7063.13
239,42101025200,363,1990,2024,1682135.55,365585.52,46735.9,328360.73,2422817.7,6674.43
240,42101025300,285,1979,2024,1414029.42,249460.89,28963.04,257736.65,1950190,6842.77
241,42101025400,164,1997,2024,916757.7,138914.59,18489.39,121770.24,1195931.92,7292.27
242,42101025500,97,1978,2024,778976.74,32812.11,7689.91,88592.19,908070.95,9361.56
243,42101025600,30,1998,2024,291128.63,39676.81,3762.79,25986.33,360554.56,12018.49
244,42101025700,56,2007,2024,168462.86,40510.76,5916.72,18724.71,233615.05,4171.7
245,42101025800,51,2000,2024,326549.56,26841.77,4833.22,29336.68,387561.23,7599.24
246,42101025900,203,1993,2024,1140237.96,95868.64,13830.43,139304.47,1389241.5,6843.55
247,42101026000,114,2000,2024,544037.9,33181.91,10611.72,71720.26,659551.79,5785.54
248,42101026100,112,1978,2024,711234.6,61780.38,8003.2,84940.32,865958.5,7731.77
249,42101026200,163,1995,2024,872295,80138.24,14677.29,109949.64,1077060.17,6607.73
250,42101026301,175,1999,2024,874218.01,106665.84,14486.89,123311.77,1118682.51,6392.47
251,42101026302,263,1996,2024,1487668.6,154836.11,24220.54,211874.86,1878600.11,7142.97
252,42101026400,263,1997,2024,1283707.64,100004.86,15750.82,181414.64,1580877.96,6010.94
253,42101026500,308,1978,2024,1575822.73,331915.48,39271.51,260913.44,2207923.16,7168.58
254,42101026600,335,1994,2024,1662618.05,180432.23,26861.94,227654.11,2097566.33,6261.39
255,42101026700,394,1979,2024,1786077.42,257562.23,34712.62,310744.92,2389097.19,6063.7
256,42101026800,124,1981,2024,1069188.19,212083.04,23336.68,139435.24,1444043.15,11645.51
257,42101026900,44,1995,2024,339160.72,99046.88,8001.55,59080.27,505289.42,11483.85
258,42101027000,55,1997,2024,425562.52,11932.17,3129.05,43799.25,484422.99,8807.69
259,42101027100,38,1995,2024,116047.09,9416.6,1969.39,17506.77,144939.85,3814.21
260,42101027200,74,2008,2024,223489.23,15384.68,4026.69,43019.14,285919.74,3863.78
261,42101027300,133,1997,2024,451276.19,63879.29,11154.62,94327.6,620637.7,4666.45
262,42101027401,89,1997,2024,245176.48,25144.15,4886.51,55405.58,330612.72,3714.75
263,42101027402,148,1992,2024,490298.49,75075.78,11787.05,115073.71,692235.03,4677.26
264,42101027500,141,1988,2024,652085.88,64466.72,10078.92,105497.33,832128.85,5901.62
