GEOID,TRACT,total_pop,poverty_pop,poverty_below,bachelors,foreign_born,median_age,pop_black,pop_white,pop_hispanic,pop_asian,total_hh,median_income,limited_english,english_only,median_home_value,housing_units,units_mortgage,occupied_units,vacant_units,renter_hh,owner_hh,family_hh,vacant_status,for_rent,for_sale,mortgage_under20k_over30pct,mortgage_20to35k_over30pct,mortgage_35to50k_over30pct,mortgage_50to75k_over30pct,mortgage_75kplus_over30pct,owner_costs_total,owner_under20k,owner_under20k_under20pct,owner_under20k_20to29pct,owner_under20k_over30pct,owner_20to35k,owner_20to35k_under20pct,owner_20to35k_20to29pct,owner_20to35k_over30pct,owner_35to50k,owner_35to50k_under20pct,owner_35to50k_20to29pct,owner_35to50k_over30pct,owner_50to75k,owner_50to75k_under20pct,owner_50to75k_20to29pct,owner_50to75k_over30pct,owner_75kplus,owner_75kplus_under20pct,owner_75kplus_20to29pct,owner_75kplus_over30pct,owner_zero_neg_income,owner_total,owner_15to24,owner_25to34,owner_35to44,owner_45to54,owner_55to59,owner_60to64,owner_65to74,owner_75to84,owner_85plus,area_sqmi,pop_density,geometry
42101024200,242,4595,4595,1014,557,135,34.4,3432,819,145,63,1785,33172,1785,1626,214400,1993,454,1785,208,1134,651,843,208,28,55,26,105,48,0,0,651,77,18,16,43,101,28,0,73,31,5,26,0,59,24,10,25,383,357,26,0,0,651,0,82,74,125,138,43,94,53,42,0.20492016308335537,22423.366890113648,"list(list(c(-75.175115, -75.173611, -75.174572, -75.173482, -75.17061, -75.169211, -75.166488, -75.165491, -75.163749, -75.166395, -75.167644, -75.169124, -75.170583, -75.172523, -75.174043, -75.175115, 40.027255, 40.028691, 40.029244, 40.030336, 40.033131, 40.032314, 40.030794, 40.030242, 40.029255, 40.026593, 40.025372, 40.023865, 40.024667, 40.025758, 40.026588, 40.027255)))"
42101025500,255,2808,2808,187,518,107,46.8,1378,1105,17,72,1186,71389,1186,1053,362800,1249,536,1186,63,333,853,743,63,0,0,29,50,19,0,0,853,63,0,0,63,37,0,9,28,109,49,32,28,189,38,87,64,455,355,90,10,0,853,0,0,161,143,156,87,145,62,99,0.29563910205230154,9498.06700300164,"list(list(c(-75.191054, -75.188629, -75.185757, -75.18437, -75.181751, -75.176526, -75.181313, -75.183366, -75.186535, -75.187306, -75.188077, -75.188378, -75.19022, -75.191054, 40.060176, 40.062443, 40.065121, 40.066442, 40.068902, 40.065896, 40.061221, 40.05922, 40.056209, 40.055484, 40.056898, 40.057436, 40.059199, 40.060176)))"
42101027402,274.02,7055,7055,2332,180,1009,38.4,4610,843,1376,460,2471,61430,2471,1709,123600,2523,1094,2471,52,325,2146,1697,52,52,0,104,146,307,0,28,2146,124,0,0,124,411,150,148,113,360,230,13,117,254,121,133,0,889,889,0,0,108,2146,50,91,247,760,429,205,247,117,0,0.19668012992431036,35870.425765505744,"list(list(c(-75.127641, -75.126643, -75.126311, -75.127317, -75.126987, -75.126639, -75.125631, -75.123566, -75.121432, -75.122078, -75.12281, -75.123535, -75.12386, -75.124167, -75.125196, -75.128428, -75.127641, 40.036063, 40.040681, 40.042203, 40.04232, 40.043857, 40.045392, 40.045259, 40.044993, 40.044731, 40.041664, 40.040181, 40.038719, 40.035562, 40.032575, 40.032305, 40.032472, 40.036063)))"
42101028600,286,6980,6980,1678,256,993,35.9,3919,276,2418,329,2602,58350,2602,1251,119800,2741,823,2602,139,1075,1527,1818,139,38,0,62,206,413,0,44,1527,260,0,67,193,186,34,73,79,96,23,62,11,539,464,0,75,402,355,47,0,44,1527,0,512,116,401,88,129,257,24,0,0.25859913597458717,26991.58283609243,"list(list(c(-75.133167, -75.132174, -75.13129, -75.128428, -75.125196, -75.124167, -75.1236, -75.121964, -75.121711, -75.122727, -75.12342, -75.125387, -75.128126, -75.13061, -75.133207, -75.133167, 40.024299, 40.028772, 40.032818, 40.032472, 40.032305, 40.032575, 40.032771, 40.03373, 40.03347, 40.029151, 40.02593, 40.025647, 40.025222, 40.024699, 40.024144, 40.024299)))"
42101030501,305.01,4946,4946,1666,183,613,29.7,2592,392,1832,212,1762,43673,1762,1143,144000,1929,851,1762,167,697,1065,1181,167,45,22,47,303,0,0,0,1065,248,0,0,248,113,9,6,98,180,32,47,101,186,139,24,23,328,316,12,0,10,1065,11,127,193,238,202,103,125,59,7,0.14603106199963262,33869.506475358256,"list(list(c(-75.103955, -75.100374, -75.101105, -75.098017, -75.094175, -75.096603, -75.100728, -75.101572, -75.103163, -75.104633, -75.103955, 40.040822, 40.044605, 40.045038, 40.047096, 40.045026, 40.042487, 40.03902, 40.038293, 40.039196, 40.040073, 40.040822)))"
42101033500,335,4077,4040,844,551,1711,31.8,1011,1486,476,683,1512,56151,1512,744,224600,1552,334,1512,40,740,772,916,40,0,0,0,44,63,18,0,772,108,0,0,108,78,32,0,46,95,12,0,83,200,70,23,107,291,287,4,0,0,772,0,45,171,87,68,136,173,74,18,0.36369624625592467,11209.90398435707,"list(list(c(-75.073256, -75.069224, -75.068074, -75.062485, -75.060891, -75.057125, -75.060654, -75.058284, -75.059937, -75.061374, -75.066045, -75.068503, -75.069721, -75.073256, 40.05533, 40.059583, 40.060824, 40.057721, 40.056823, 40.054722, 40.050999, 40.049688, 40.047751, 40.048585, 40.051181, 40.05259, 40.053284, 40.05533)))"
42101034000,340,3185,3144,29,454,523,48.9,403,2175,514,346,1223,99181,1223,785,293500,1231,571,1223,8,153,1070,904,8,0,8,24,11,130,0,0,1070,0,0,0,0,56,0,0,56,111,44,21,46,160,105,0,55,733,602,104,27,10,1070,0,137,78,267,167,102,174,90,55,0.29401140916308355,10832.912943978068,"list(list(c(-75.07966, -75.0759, -75.071007, -75.067912, -75.067333, -75.068958, -75.068862, -75.070412, -75.067838, -75.069297, -75.074845, -75.077177, -75.080965, -75.07966, 40.069203, 40.072884, 40.077682, 40.075976, 40.075504, 40.072358, 40.071845, 40.07022, 40.068959, 40.068345, 40.066538, 40.065785, 40.067974, 40.069203)))"
42101034900,349,5398,5398,909,446,1299,42.5,1558,2614,1291,253,2235,59563,2235,1542,171800,2265,903,2235,30,854,1381,1304,30,0,0,176,147,106,31,0,1381,121,37,23,61,245,0,67,178,77,33,0,44,266,90,176,0,672,524,126,22,0,1381,0,175,173,353,203,77,208,89,103,0.7516648512364539,7181.392067382877,"list(list(c(-75.022122, -75.020499, -75.018502, -75.016377, -75.012273, -75.004795, -74.999877, -74.99627, -75.006278, -75.010099, -75.011038, -75.012541, -75.016212, -75.01783, -75.021806, -75.022122, 40.038058, 40.043542, 40.044081, 40.045672, 40.048885, 40.054747, 40.050402, 40.047202, 40.041155, 40.039038, 40.038599, 40.038027, 40.039914, 40.039076, 40.037024, 40.038058)))"
42101035900,359,4952,4952,869,876,1515,49,87,3245,365,1223,2220,47593,2220,1155,287100,2371,676,2220,151,816,1404,1405,151,128,0,81,37,26,212,0,1404,93,0,0,93,212,0,0,212,99,10,81,8,223,82,28,113,777,614,151,12,0,1404,0,69,220,481,198,78,265,22,71,0.8656174875985367,5720.7716698725935,"list(list(c(-75.028883, -75.026305, -75.025585, -75.024306, -75.023041, -75.018457, -75.018005, -75.015384, -75.010453, -75.008712, -75.006991, -75.005391, -75.018145, -75.023927, -75.027635, -75.028883, 40.102543, 40.108324, 40.109312, 40.111181, 40.112998, 40.118119, 40.118909, 40.123599, 40.120681, 40.119612, 40.118599, 40.114802, 40.105095, 40.100702, 40.101765, 40.102543)))"
42101000200,2,3486,3374,648,1029,1379,43.1,174,1411,174,1724,1686,98994,1686,961,483700,1828,613,1686,142,812,874,635,142,66,0,26,53,0,13,0,874,34,0,0,34,56,15,0,41,77,0,77,0,99,11,13,75,599,530,36,33,9,874,10,85,88,454,35,0,44,122,36,0.14876442365115006,23433.02191775776,"list(list(c(-75.162688, -75.162339, -75.157898, -75.155538, -75.153846, -75.152893, -75.150881, -75.151102, -75.151323, -75.151539, -75.154717, -75.157864, -75.159435, -75.163093, -75.162688, 39.956227, 39.957825, 39.957247, 39.956923, 39.956784, 39.956884, 39.957421, 39.957139, 39.956527, 39.952948, 39.953348, 39.953748, 39.953953, 39.9544, 39.956227)))"
