GEOID,geometry
42101016002,"list(list(c(-75.130448, -75.127623, -75.125062, -75.122679, -75.120252, -75.118522, -75.120973, -75.123266, -75.122449, -75.124193, -75.123334, -75.126136, -75.128628, -75.130448, 39.978589, 39.98143, 39.982373, 39.983488, 39.984755, 39.982825, 39.981546, 39.980344, 39.979411, 39.9785, 39.977514, 39.976082, 39.977533, 39.978589)))"
42101016001,"list(list(c(-75.126136, -75.123334, -75.124193, -75.122449, -75.123266, -75.120973, -75.118522, -75.117355, -75.117697, -75.118611, -75.119763, -75.119959, -75.120992, -75.122592, -75.123391, -75.125201, -75.126136, 39.976082, 39.977514, 39.9785, 39.979411, 39.980344, 39.981546, 39.982825, 39.981481, 39.980904, 39.978879, 39.976369, 39.975915, 39.97547, 39.97388, 39.974403, 39.975558, 39.976082)))"
42101000403,"list(list(c(-75.168444, -75.167989, -75.166365, -75.163093, -75.163323, -75.165063, -75.165299, -75.163996, -75.164011, -75.168767, -75.168444, 39.952975, 39.955008, 39.954816, 39.9544, 39.953355, 39.953608, 39.952284, 39.951625, 39.950876, 39.951468, 39.952975)))"
42101980904,"list(list(c(-75.211253, -75.207433, -75.204223, -75.199649, -75.194439, -75.193097, -75.193615, -75.195045, -75.2017, -75.203396, -75.208526, -75.21079, -75.212428, -75.211253, 39.928519, 39.933513, 39.932852, 39.931912, 39.92661, 39.924969, 39.922341, 39.921011, 39.919834, 39.921007, 39.921033, 39.922095, 39.92523, 39.928519)))"
42101000600,"list(list(c(-75.164338, -75.164011, -75.163857, -75.160209, -75.158634, -75.157062, -75.152337, -75.153174, -75.156646, -75.157392, -75.158965, -75.159751, -75.162114, -75.164192, -75.164338, 39.949346, 39.950876, 39.950856, 39.950395, 39.950203, 39.950006, 39.949421, 39.947962, 39.948394, 39.94849, 39.948681, 39.948783, 39.94908, 39.949334, 39.949346)))"
42101001900,"list(list(c(-75.177761, -75.177598, -75.174104, -75.170955, -75.166204, -75.16636, -75.166816, -75.170025, -75.171602, -75.173173, -75.17631, -75.178251, -75.177761, 39.941461, 39.942228, 39.941793, 39.941404, 39.940813, 39.94003, 39.937869, 39.938263, 39.938447, 39.938641, 39.939021, 39.939268, 39.941461)))"
42101002701,"list(list(c(-75.155274, -75.154454, -75.152893, -75.151309, -75.152131, -75.152938, -75.154526, -75.156095, -75.155274, 39.928763, 39.93242, 39.932208, 39.932007, 39.928336, 39.924679, 39.924895, 39.925103, 39.928763)))"
42101003200,"list(list(c(-75.189148, -75.188885, -75.183916, -75.180621, -75.181162, -75.181419, -75.181589, -75.181944, -75.183601, -75.18524, -75.188636, -75.190222, -75.189148, 39.935671, 39.936887, 39.93624, 39.935816, 39.933385, 39.932161, 39.931366, 39.929729, 39.929928, 39.930146, 39.930583, 39.930779, 39.935671)))"
42101003902,"list(list(c(-75.17763, -75.177732, -75.177438, -75.177082, -75.175614, -75.174033, -75.173748, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.177806, -75.17763, 39.914983, 39.917575, 39.91897, 39.920207, 39.920013, 39.919809, 39.92106, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.91309, 39.914983)))"
42101004002,"list(list(c(-75.171122, -75.170854, -75.170581, -75.170309, -75.166563, -75.163412, -75.163956, -75.16453, -75.166914, -75.167681, -75.170208, -75.171423, -75.171122, 39.918152, 39.91941, 39.920653, 39.921885, 39.921418, 39.921015, 39.918518, 39.915875, 39.916189, 39.916283, 39.916631, 39.916757, 39.918152)))"
42101037200,"list(list(c(-75.172253, -75.171423, -75.170208, -75.167681, -75.166914, -75.16453, -75.161956, -75.159844, -75.156708, -75.148124, -75.149181, -75.149541, -75.160789, -75.165482, -75.171928, -75.172253, 39.912388, 39.916757, 39.916631, 39.916283, 39.916189, 39.915875, 39.915546, 39.915286, 39.914869, 39.913772, 39.908642, 39.908703, 39.910942, 39.911531, 39.912348, 39.912388)))"
42101006400,"list(list(c(-75.247759, -75.244336, -75.243643, -75.242903, -75.235478, -75.236986, -75.235594, -75.236833, -75.23816, -75.239671, -75.246856, -75.247341, -75.247484, -75.247459, -75.247759, 39.921708, 39.92625, 39.930897, 39.930708, 39.928877, 39.927821, 39.92664, 39.925765, 39.924839, 39.923779, 39.918759, 39.918541, 39.919242, 39.921343, 39.921708)))"
42101008000,"list(list(c(-75.230959, -75.230793, -75.230635, -75.230323, -75.229999, -75.226224, -75.222279, -75.222589, -75.22275, -75.222914, -75.223315, -75.224946, -75.227419, -75.229449, -75.231289, -75.230959, 39.949438, 39.950172, 39.950922, 39.952475, 39.953996, 39.953528, 39.95304, 39.951519, 39.950754, 39.949975, 39.947925, 39.947744, 39.94777, 39.947779, 39.94782, 39.949438)))"
42101017601,"list(list(c(-75.139851, -75.138713, -75.133777, -75.13191, -75.130122, -75.128748, -75.126915, -75.127031, -75.130898, -75.132893, -75.134868, -75.138352, -75.140198, -75.139851, 39.993672, 39.998891, 39.996591, 39.995754, 39.994573, 39.993458, 39.991834, 39.990386, 39.99089, 39.991144, 39.991407, 39.991851, 39.992086, 39.993672)))"
42101009100,"list(list(c(-75.202235, -75.199436, -75.197197, -75.194297, -75.194015, -75.193789, -75.193574, -75.194152, -75.196121, -75.199622, -75.201953, -75.201824, -75.201971, -75.202235, 39.961643, 39.962042, 39.962287, 39.962607, 39.961124, 39.959881, 39.958689, 39.95618, 39.956429, 39.95686, 39.957149, 39.957827, 39.959176, 39.961643)))"
42101010000,"list(list(c(-75.255196, -75.251914, -75.250203, -75.247797, -75.247494, -75.246935, -75.247518, -75.246531, -75.246848, -75.247169, -75.251119, -75.250481, -75.255123, -75.254752, -75.255196, 39.97426, 39.974623, 39.974815, 39.975079, 39.975113, 39.972111, 39.969093, 39.968967, 39.967449, 39.965927, 39.966398, 39.96946, 39.970036, 39.971527, 39.97426)))"
42101014400,"list(list(c(-75.146082, -75.145559, -75.141976, -75.139715, -75.138434, -75.133374, -75.134401, -75.134428, -75.135143, -75.139578, -75.140665, -75.141518, -75.143095, -75.145018, -75.146543, -75.146082, 39.972833, 39.975638, 39.97519, 39.974897, 39.97474, 39.97409, 39.972303, 39.968791, 39.968687, 39.969515, 39.969652, 39.969758, 39.969954, 39.970191, 39.97038, 39.972833)))"
42101015101,"list(list(c(-75.187382, -75.186713, -75.183459, -75.184136, -75.184794, -75.188033, -75.187382, 39.98713, 39.990215, 39.9898, 39.986721, 39.983706, 39.984126, 39.98713)))"
42101016300,"list(list(c(-75.139021, -75.138352, -75.134868, -75.132893, -75.130898, -75.127031, -75.125491, -75.127363, -75.129641, -75.130794, -75.131907, -75.132208, -75.136759, -75.139669, -75.139021, 39.988764, 39.991851, 39.991407, 39.991144, 39.99089, 39.990386, 39.989836, 39.988792, 39.987546, 39.986928, 39.986306, 39.984741, 39.985402, 39.985802, 39.988764)))"
42101017000,"list(list(c(-75.19281, -75.190514, -75.186537, -75.185674, -75.183611, -75.182239, -75.178229, -75.175669, -75.16914, -75.169741, -75.172209, -75.173853, -75.178633, -75.178809, -75.181141, -75.183953, -75.186861, -75.188447, -75.191754, -75.19132, -75.19281, 40.006733, 40.008407, 40.009831, 40.01012, 40.010905, 40.011676, 40.014435, 40.016051, 40.008832, 40.008585, 40.007898, 40.007468, 40.005052, 40.004937, 40.003697, 40.002838, 40.000409, 40.000272, 39.999748, 40.003715, 40.006733)))"
42101018002,"list(list(c(-75.111221, -75.108359, -75.105915, -75.105064, -75.103366, -75.102999, -75.101439, -75.105976, -75.108971, -75.110525, -75.109756, -75.108828, -75.109463, -75.111221, 39.985268, 39.986753, 39.988037, 39.987073, 39.985129, 39.98472, 39.982974, 39.980595, 39.979021, 39.980787, 39.981194, 39.981673, 39.98254, 39.985268)))"
42101019000,"list(list(c(-75.10327, -75.103146, -75.102552, -75.102216, -75.101864, -75.101557, -75.099374, -75.097431, -75.097055, -75.097041, -75.095823, -75.0944, -75.093531, -75.094363, -75.094819, -75.092574, -75.094104, -75.101811, -75.103797, -75.10327, 40.005602, 40.006202, 40.009202, 40.010789, 40.012369, 40.013878, 40.013583, 40.013325, 40.015202, 40.01595, 40.01575, 40.014785, 40.013395, 40.011383, 40.009406, 40.007932, 40.007096, 40.002863, 40.003134, 40.005602)))"
42101019800,"list(list(c(-75.147325, -75.147247, -75.147212, -75.146473, -75.141745, -75.140125, -75.139484, -75.137826, -75.135858, -75.136858, -75.139652, -75.140472, -75.142772, -75.143346, -75.147603, -75.147325, 40.010382, 40.011906, 40.014965, 40.014862, 40.012939, 40.012538, 40.012453, 40.012233, 40.011982, 40.007394, 40.007755, 40.007878, 40.008153, 40.008227, 40.008779, 40.010382)))"
42101020400,"list(list(c(-75.157303, -75.154929, -75.153357, -75.148567, -75.14711, -75.147139, -75.147143, -75.149347, -75.151207, -75.153849, -75.15409, -75.154576, -75.155692, -75.156094, -75.159035, -75.157303, 40.022607, 40.02229, 40.022088, 40.021476, 40.02128, 40.019518, 40.01901, 40.017957, 40.017114, 40.015891, 40.016325, 40.017272, 40.019078, 40.019695, 40.0228, 40.022607)))"
42101021500,"list(list(c(-75.234937, -75.226267, -75.225234, -75.222808, -75.222052, -75.218759, -75.222011, -75.225849, -75.224657, -75.225127, -75.228765, -75.229513, -75.231381, -75.232094, -75.23484, -75.234261, -75.233394, -75.23564, -75.234937, 40.0349, 40.042401, 40.041319, 40.038112, 40.037775, 40.036654, 40.035206, 40.033506, 40.031899, 40.031643, 40.029792, 40.029492, 40.028615, 40.027994, 40.030075, 40.030892, 40.031906, 40.034249, 40.0349)))"
42101038500,"list(list(c(-75.227717, -75.224012, -75.219807, -75.217463, -75.207985, -75.203427, -75.202651, -75.204218, -75.204166, -75.205815, -75.208933, -75.211138, -75.211625, -75.215385, -75.216984, -75.215755, -75.21843, -75.224138, -75.227717, 40.084321, 40.084218, 40.082084, 40.080575, 40.07695, 40.07418, 40.073212, 40.071632, 40.069595, 40.070106, 40.067015, 40.068318, 40.070754, 40.073257, 40.074811, 40.076447, 40.075856, 40.08003, 40.084321)))"
42101026301,"list(list(c(-75.167097, -75.166062, -75.163399, -75.161285, -75.158417, -75.161313, -75.162035, -75.164106, -75.165348, -75.166725, -75.16899, -75.167097, 40.07332, 40.074338, 40.07695, 40.075764, 40.074169, 40.071386, 40.070685, 40.068662, 40.069372, 40.070165, 40.071473, 40.07332)))"
42101025700,"list(list(c(-75.200878, -75.199786, -75.199496, -75.199361, -75.197601, -75.190831, -75.189203, -75.190626, -75.193222, -75.196385, -75.196741, -75.198673, -75.20079, -75.202651, -75.200878, 40.074958, 40.075366, 40.07547, 40.075928, 40.077991, 40.074114, 40.073174, 40.071989, 40.06909, 40.066623, 40.067365, 40.068575, 40.070707, 40.073212, 40.074958)))"
